Gene	miRNA
ATG2A	hsa-miR-6749-5p
ATG2A	hsa-miR-6750-3p
ATG2A	hsa-miR-6750-5p
ATG4D	hsa-miR-1238-3p
ATG4D	hsa-miR-1238-5p
ATP10A	hsa-miR-4715-3p
ATP10A	hsa-miR-4715-5p
ATP11C	hsa-miR-505-3p
ATP11C	hsa-miR-505-5p
ATP2B2	hsa-miR-885-3p
ATP2B2	hsa-miR-885-5p
ATP5MD	hsa-miR-1307-3p
ATP5MD	hsa-miR-1307-5p
ATP6V0A1	hsa-miR-5010-3p
ATP6V0A1	hsa-miR-5010-5p
ATP6V0A1	hsa-miR-548at-3p
ATP6V0A1	hsa-miR-548at-5p
ATXN10	hsa-miR-4762-3p
ATXN10	hsa-miR-4762-5p
B3GNT2	hsa-miR-5192
B9D1	hsa-miR-1180-3p
B9D1	hsa-miR-1180-5p
BAALC	hsa-miR-3151-3p
BAALC	hsa-miR-3151-5p
BABAM2	hsa-miR-4263
BCAS1	hsa-miR-4756-3p
BCAS1	hsa-miR-4756-5p
BCL2L14	hsa-miR-1244
BCL7C	hsa-miR-4519
BECN1	hsa-miR-6781-3p
BECN1	hsa-miR-6781-5p
BID	hsa-miR-3198
BIRC6	hsa-miR-558
BIRC7	hsa-miR-3196
BLACAT1	hsa-miR-135b-3p
BLACAT1	hsa-miR-135b-5p
BUD31	hsa-miR-12119
C16orf74	hsa-miR-1910-3p
C16orf74	hsa-miR-1910-5p
C17orf100	hsa-miR-4520-2-3p
C17orf100	hsa-miR-4520-5p
C1orf61	hsa-miR-9-3p
C1orf61	hsa-miR-9-5p
C3orf52	hsa-miR-567
C4orf50	hsa-miR-378d
C7orf50	hsa-miR-339-3p
C7orf50	hsa-miR-339-5p
CACHD1	hsa-miR-4794
CADM2	hsa-miR-5688
CALCR	hsa-miR-489-3p
CALCR	hsa-miR-489-5p
CALCR	hsa-miR-653-3p
CALCR	hsa-miR-653-5p
CALR	hsa-miR-6515-3p
CALR	hsa-miR-6515-5p
CAMK1D	hsa-miR-4480
CAMSAP3	hsa-miR-6792-3p
CAMSAP3	hsa-miR-6792-5p
CAMTA2	hsa-miR-6864-3p
CAMTA2	hsa-miR-6864-5p
CAMTA2	hsa-miR-6865-3p
CAMTA2	hsa-miR-6865-5p
CAPN15	hsa-miR-3176
CAPN15	hsa-miR-5587-3p
CAPN15	hsa-miR-5587-5p
CCDC40	hsa-miR-1268b
CCDC61	hsa-miR-769-3p
CCDC61	hsa-miR-769-5p
CCNF	hsa-miR-6767-3p
CCNF	hsa-miR-6767-5p
CCPG1	hsa-miR-628-3p
CCPG1	hsa-miR-628-5p
CD22	hsa-miR-5196-3p
CD22	hsa-miR-5196-5p
CD58	hsa-miR-548ac
CDC16	hsa-miR-548ar-3p
CDC16	hsa-miR-548ar-5p
CDC20B	hsa-miR-449a
CDC20B	hsa-miR-449b-3p
CDC20B	hsa-miR-449b-5p
CDC20B	hsa-miR-449c-3p
CDC20B	hsa-miR-449c-5p
CDC5L	hsa-miR-4642
CDC73	hsa-miR-1278
CDH13	hsa-miR-3182
CDH13	hsa-miR-8058
CDH23	hsa-miR-7152-3p
CDH23	hsa-miR-7152-5p
CDK4	hsa-miR-6759-3p
CDK4	hsa-miR-6759-5p
CELSR3	hsa-miR-4793-3p
CELSR3	hsa-miR-4793-5p
CERS6	hsa-miR-4774-3p
CERS6	hsa-miR-4774-5p
CFAP43	hsa-miR-609
CFAP44	hsa-miR-8076
CFAP45	hsa-miR-4259
CHCHD3	hsa-miR-3654
CHD2	hsa-miR-3175
CHM	hsa-miR-361-3p
CHM	hsa-miR-361-5p
CHRDL2	hsa-miR-4696
CHRM2	hsa-miR-490-3p
CHRM2	hsa-miR-490-5p
CHST11	hsa-miR-3922-3p
CHST11	hsa-miR-3922-5p
CHURC1-FNTB	hsa-miR-4706
CKAP5	hsa-miR-5582-3p
CKAP5	hsa-miR-5582-5p
CKS1B	hsa-miR-4258
CKS2	hsa-miR-3153
CLCN5	hsa-miR-188-3p
CLCN5	hsa-miR-188-5p
CLCN5	hsa-miR-362-3p
CLCN5	hsa-miR-362-5p
