Gene	miRNA
MGAT5	hsa-miR-3679-3p
MGAT5	hsa-miR-3679-5p
MGRN1	hsa-miR-6769a-3p
MGRN1	hsa-miR-6769a-5p
MICAL2	hsa-miR-6124
MICAL3	hsa-miR-648
MIIP	hsa-miR-6729-3p
MIIP	hsa-miR-6729-5p
MLLT3	hsa-miR-4473
MLLT3	hsa-miR-4474-3p
MLLT3	hsa-miR-4474-5p
MLLT6	hsa-miR-4726-3p
MLLT6	hsa-miR-4726-5p
MLPH	hsa-miR-6811-3p
MLPH	hsa-miR-6811-5p
MPP7	hsa-miR-8086
MRC1	hsa-miR-511-3p
MRC1	hsa-miR-511-5p
MRE11	hsa-miR-548l
MS4A4E	hsa-miR-6503-3p
MS4A4E	hsa-miR-6503-5p
MTMR3	hsa-miR-6818-3p
MTMR3	hsa-miR-6818-5p
MTPAP	hsa-miR-7162-3p
MTPAP	hsa-miR-7162-5p
MTUS1	hsa-miR-548v
MUC5B	hsa-miR-6744-3p
MUC5B	hsa-miR-6744-5p
MYH6	hsa-miR-208a-3p
MYH6	hsa-miR-208a-5p
MYH7B	hsa-miR-499a-3p
MYH7B	hsa-miR-499a-5p
MYH7	hsa-miR-208b-3p
MYH7	hsa-miR-208b-5p
MYH9	hsa-miR-6819-3p
MYH9	hsa-miR-6819-5p
MYLIP	hsa-miR-4639-3p
MYLIP	hsa-miR-4639-5p
MYO1E	hsa-miR-2116-3p
MYO1E	hsa-miR-2116-5p
MYO5B	hsa-miR-4320
MYO5C	hsa-miR-1266-3p
MYO5C	hsa-miR-1266-5p
MYOM2	hsa-miR-7160-3p
MYOM2	hsa-miR-7160-5p
NAA25	hsa-miR-3657
NAALADL2	hsa-miR-4789-3p
NAALADL2	hsa-miR-4789-5p
NADSYN1	hsa-miR-6754-3p
NADSYN1	hsa-miR-6754-5p
NANOS3	hsa-miR-181c-3p
NANOS3	hsa-miR-181c-5p
NANOS3	hsa-miR-181d-3p
NANOS3	hsa-miR-181d-5p
NAV1	hsa-miR-1231
NAV1	hsa-miR-5191
NAV2	hsa-miR-4486
NCOR2	hsa-miR-6880-3p
NCOR2	hsa-miR-6880-5p
NDUFA10	hsa-miR-4786-3p
NDUFA10	hsa-miR-4786-5p
NDUFAF6	hsa-miR-3150a-3p
NDUFAF6	hsa-miR-3150a-5p
NEFL	hsa-miR-6841-3p
NEFL	hsa-miR-6841-5p
NEO1	hsa-miR-12135
NETO1	hsa-miR-548av-3p
NETO1	hsa-miR-548av-5p
NEURL1B	hsa-miR-5003-3p
NEURL1B	hsa-miR-5003-5p
NFATC2	hsa-miR-3194-3p
NFATC2	hsa-miR-3194-5p
NFE2L2	hsa-miR-3128
NFE2L2	hsa-miR-6512-3p
NFE2L2	hsa-miR-6512-5p
NFYC	hsa-miR-30c-1-3p
NFYC	hsa-miR-30c-5p
NFYC	hsa-miR-30e-3p
NFYC	hsa-miR-30e-5p
NGFR	hsa-miR-6165
NHS	hsa-miR-4768-3p
NHS	hsa-miR-4768-5p
NHSL1	hsa-miR-3145-3p
NHSL1	hsa-miR-3145-5p
NMNAT1	hsa-miR-5697
NOL6	hsa-miR-6851-3p
NOL6	hsa-miR-6851-5p
NOMO2	hsa-miR-3179
NOMO2	hsa-miR-3670
NOS1AP	hsa-miR-4654
NOS1AP	hsa-miR-556-3p
NOS1AP	hsa-miR-556-5p
NOTCH1	hsa-miR-4673
NOTCH3	hsa-miR-6795-3p
NOTCH3	hsa-miR-6795-5p
NPIPA1	hsa-miR-6511a-3p
NPIPA1	hsa-miR-6511a-5p
NPIPA1	hsa-miR-6770-3p
NPIPA1	hsa-miR-6770-5p
NRDC	hsa-miR-761
NRXN1	hsa-miR-8485
NTRK3	hsa-miR-11181-3p
NTRK3	hsa-miR-11181-5p
NUMA1	hsa-miR-3165
NUP210L	hsa-miR-5698
NVL	hsa-miR-320b
NXF1	hsa-miR-6514-3p
NXF1	hsa-miR-6514-5p
ODF2L	hsa-miR-7856-5p
OPLAH	hsa-miR-6846-3p
OPLAH	hsa-miR-6846-5p
OSBP2	hsa-miR-3200-3p
OSBP2	hsa-miR-3200-5p
OSBP	hsa-miR-3162-3p
OSBP	hsa-miR-3162-5p
P4HA2	hsa-miR-6830-3p
P4HA2	hsa-miR-6830-5p
PACSIN3	hsa-miR-6745
PADI3	hsa-miR-3972
PANK1	hsa-miR-107
PANK2	hsa-miR-103a-2-5p
PANK2	hsa-miR-103a-3p
PANK3	hsa-miR-103a-1-5p
PANK3	hsa-miR-103a-3p
PATJ	hsa-miR-12132
PATJ	hsa-miR-3116
PAX5	hsa-miR-4476
PAX5	hsa-miR-4540
PCDH15	hsa-miR-548f-3p
PCDH15	hsa-miR-548f-5p
PCED1B	hsa-miR-4698
PC	hsa-miR-3163
PCNX3	hsa-miR-4690-3p
PCNX3	hsa-miR-4690-5p
PDE2A	hsa-miR-139-3p
PDE2A	hsa-miR-139-5p
PDE4D	hsa-miR-582-3p
PDE4D	hsa-miR-582-5p
PDHX	hsa-miR-1343-3p
PDHX	hsa-miR-1343-5p
PFKFB3	hsa-miR-3155a
PFKFB4	hsa-miR-6823-3p
PFKFB4	hsa-miR-6823-5p
PFKM	hsa-miR-6505-3p
PFKM	hsa-miR-6505-5p
PHC2	hsa-miR-3605-3p
PHC2	hsa-miR-3605-5p
PHF2	hsa-miR-548au-3p
PHF2	hsa-miR-548au-5p
PIAS3	hsa-miR-6736-3p
PIAS3	hsa-miR-6736-5p
PIEZO1	hsa-miR-4722-3p
PIEZO1	hsa-miR-4722-5p
PIEZO2	hsa-miR-6788-3p
PIEZO2	hsa-miR-6788-5p
PIGL	hsa-miR-1288-3p
PIGL	hsa-miR-1288-5p
PIGT	hsa-miR-6812-3p
PIGT	hsa-miR-6812-5p
PIM3	hsa-miR-6821-3p
PIM3	hsa-miR-6821-5p
PINX1	hsa-miR-1322
PITPNC1	hsa-miR-548aa
PITPNM2	hsa-miR-4304
PKD1	hsa-miR-1225-3p
PKD1	hsa-miR-1225-5p
PKD1	hsa-miR-6511b-3p
PKD1	hsa-miR-6511b-5p
PLCD3	hsa-miR-6784-3p
PLCD3	hsa-miR-6784-5p
PLCG1	hsa-miR-6871-3p
PLCG1	hsa-miR-6871-5p
PLD3	hsa-miR-6796-3p
PLD3	hsa-miR-6796-5p
PLEC	hsa-miR-661
PLEKHA1	hsa-miR-3941
PLEKHJ1	hsa-miR-1227-3p
PLEKHJ1	hsa-miR-1227-5p
PLPP1	hsa-miR-5687
PMP22	hsa-miR-4731-3p
PMP22	hsa-miR-4731-5p
PNKD	hsa-miR-6810-3p
PNKD	hsa-miR-6810-5p
POLG	hsa-miR-6766-3p
POLG	hsa-miR-6766-5p
POLM	hsa-miR-6838-3p
POLM	hsa-miR-6838-5p
POLR2F	hsa-miR-4534
POLR2F	hsa-miR-6820-3p
POLR2F	hsa-miR-6820-5p
POLR3F	hsa-miR-3192-3p
POLR3F	hsa-miR-3192-5p
POU2F2	hsa-miR-4323
PPARGC1B	hsa-miR-378a-3p
PPARGC1B	hsa-miR-378a-5p
PPFIA1	hsa-miR-548k
PPP2R1A	hsa-miR-6801-3p
PPP2R1A	hsa-miR-6801-5p
PPP3CA	hsa-miR-1255a
PPP3CA	hsa-miR-8066
PPP6R1	hsa-miR-6802-3p
PPP6R1	hsa-miR-6802-5p
PPP6R1	hsa-miR-6803-3p
PPP6R1	hsa-miR-6803-5p
PPP6R1	hsa-miR-6804-3p
PPP6R1	hsa-miR-6804-5p
PPP6R2	hsa-miR-12114
PRDM16	hsa-miR-4251
PRIM2	hsa-miR-548u
PRKCA	hsa-miR-634
PRKCB	hsa-miR-1273h-3p
PRKCB	hsa-miR-1273h-5p
PRKD2	hsa-miR-320e
PRKG1	hsa-miR-605-3p
PRKG1	hsa-miR-605-5p
PRMT1	hsa-miR-5088-3p
PRMT1	hsa-miR-5088-5p
PRRC2A	hsa-miR-6832-3p
PRRC2A	hsa-miR-6832-5p
PTK2B	hsa-miR-6842-3p
PTK2B	hsa-miR-6842-5p
PTK2	hsa-miR-151a-3p
PTK2	hsa-miR-151a-5p
PTOV1	hsa-miR-4749-3p
PTOV1	hsa-miR-4749-5p
PTPRJ	hsa-miR-3161
PTPRN2	hsa-miR-153-3p
PTPRN2	hsa-miR-153-5p
PTPRN2	hsa-miR-595
PTPRN	hsa-miR-153-3p
PYROXD2	hsa-miR-1287-3p
PYROXD2	hsa-miR-1287-5p
R3HDM1	hsa-miR-128-1-5p
R3HDM1	hsa-miR-128-3p
RAB3GAP2	hsa-miR-664a-3p
RAB3GAP2	hsa-miR-664a-5p
RAB40B	hsa-miR-4525
RABL6	hsa-miR-4292
RADX	hsa-miR-548an
RALGAPB	hsa-miR-548o-3p
RALGAPB	hsa-miR-548o-5p
RALY	hsa-miR-4755-3p
RALY	hsa-miR-4755-5p
RANGAP1	hsa-miR-6889-3p
RANGAP1	hsa-miR-6889-5p
RAPGEF2	hsa-miR-3688-3p
RAPGEF2	hsa-miR-3688-5p
RAPGEFL1	hsa-miR-6867-3p
RAPGEFL1	hsa-miR-6867-5p
RASSF3	hsa-miR-548c-3p
RASSF3	hsa-miR-548c-5p
RBFOX1	hsa-miR-8065
RBM47	hsa-miR-4802-3p
RBM47	hsa-miR-4802-5p
RBPMS2	hsa-miR-1272
RCL1	hsa-miR-101-2-5p
RCL1	hsa-miR-101-3p
RGS19	hsa-miR-6813-3p
RGS19	hsa-miR-6813-5p
RGS6	hsa-miR-7843-3p
RGS6	hsa-miR-7843-5p
RIPK4	hsa-miR-6814-3p
RIPK4	hsa-miR-6814-5p
RIPOR3	hsa-miR-1302
RNF130	hsa-miR-340-3p
RNF130	hsa-miR-340-5p
RNF170	hsa-miR-4469
RNF216	hsa-miR-6874-3p
RNF216	hsa-miR-6874-5p
RNF220	hsa-miR-5584-3p
RNF220	hsa-miR-5584-5p
RNF5	hsa-miR-6833-3p
RNF5	hsa-miR-6833-5p
RNPEP	hsa-miR-6740-3p
RNPEP	hsa-miR-6740-5p
ROR2	hsa-miR-3910
RPL10A	hsa-miR-7111-3p
RPL10A	hsa-miR-7111-5p
RPL8	hsa-miR-6850-3p
RPL8	hsa-miR-6850-5p
RPS19	hsa-miR-6797-3p
RPS19	hsa-miR-6797-5p
RPS6KA1	hsa-miR-1976
RPS6KA2	hsa-miR-1913
RPS6KA4	hsa-miR-1237-3p
RPS6KA4	hsa-miR-1237-5p
RTCA	hsa-miR-553
RTN1	hsa-miR-5586-3p
RTN1	hsa-miR-5586-5p
RTN4R	hsa-miR-1286
RUNX3	hsa-miR-6731-3p
RUNX3	hsa-miR-6731-5p
RUVBL2	hsa-miR-6798-3p
RUVBL2	hsa-miR-6798-5p
RXRA	hsa-miR-4669
RYR2	hsa-miR-4428
SCARA5	hsa-miR-4287
SCD5	hsa-miR-575
SCRIB	hsa-miR-937-3p
SCRIB	hsa-miR-937-5p
SCUBE2	hsa-miR-5691
SDCCAG8	hsa-miR-4677-3p
SDCCAG8	hsa-miR-4677-5p
SEC14L1	hsa-miR-6516-3p
SEC14L1	hsa-miR-6516-5p
SEC24B	hsa-miR-576-3p
SEC24B	hsa-miR-576-5p
SEMA4G	hsa-miR-608
SEMA5A	hsa-miR-4636
SEMA7A	hsa-miR-6881-3p
SEMA7A	hsa-miR-6881-5p
SEPT6	hsa-miR-766-3p
SEPT6	hsa-miR-766-5p
SFRP1	hsa-miR-548ao-3p
SFRP1	hsa-miR-548ao-5p
SGCZ	hsa-miR-383-3p
SGCZ	hsa-miR-383-5p
SGIP1	hsa-miR-3117-3p
SGIP1	hsa-miR-3117-5p
SH2B2	hsa-miR-4285
SH3BGR	hsa-miR-6508-3p
SH3BGR	hsa-miR-6508-5p
SH3TC2	hsa-miR-584-3p
SH3TC2	hsa-miR-584-5p
SHANK2	hsa-miR-3664-3p
SHANK2	hsa-miR-3664-5p
SHOC2	hsa-miR-548e-3p
SHOC2	hsa-miR-548e-5p
SHROOM3	hsa-miR-4450
SHROOM3	hsa-miR-548ah-3p
SHROOM3	hsa-miR-548ah-5p
SIDT1	hsa-miR-4446-3p
SIDT1	hsa-miR-4446-5p
SIPA1	hsa-miR-4489
SKA2	hsa-miR-301a-3p
SKA2	hsa-miR-301a-5p
SKA2	hsa-miR-454-3p
SKA2	hsa-miR-454-5p
SKAP1	hsa-miR-1203
SLA	hsa-miR-7848-3p
SLC12A3	hsa-miR-6863
SLC12A7	hsa-miR-4635
SLC12A8	hsa-miR-5092
SLC25A13	hsa-miR-591
SLC25A17	hsa-miR-4766-3p
SLC25A17	hsa-miR-4766-5p
SLC25A21	hsa-miR-4503
SLC35F3	hsa-miR-4671-3p
SLC35F3	hsa-miR-4671-5p
SLC35F5	hsa-miR-4782-3p
SLC35F5	hsa-miR-4782-5p
SLC39A1	hsa-miR-6737-3p
SLC39A1	hsa-miR-6737-5p
SLC6A16	hsa-miR-4324
SLC7A5	hsa-miR-6775-3p
SLC7A5	hsa-miR-6775-5p
SLC9A8	hsa-miR-12122
SLIT2	hsa-miR-218-1-3p
SLIT2	hsa-miR-218-5p
SLIT3	hsa-miR-218-2-3p
SLIT3	hsa-miR-218-5p
SLIT3	hsa-miR-585-3p
SLIT3	hsa-miR-585-5p
SMC1A	hsa-miR-6857-3p
SMC1A	hsa-miR-6857-5p
SMC4	hsa-miR-15b-3p
SMC4	hsa-miR-15b-5p
SMC4	hsa-miR-16-2-3p
SMC4	hsa-miR-16-5p
SNAPC5	hsa-miR-4512
SNCB	hsa-miR-4281
SND1	hsa-miR-593-3p
SND1	hsa-miR-593-5p
SORCS2	hsa-miR-4274
SORCS2	hsa-miR-4798-3p
SORCS2	hsa-miR-4798-5p
SP4	hsa-miR-1183
SPACA6	hsa-let-7e-3p
SPACA6	hsa-let-7e-5p
SPACA6	hsa-miR-125a-3p
SPACA6	hsa-miR-125a-5p
SPACA6	hsa-miR-99b-3p
SPACA6	hsa-miR-99b-5p
SPAG16	hsa-miR-4438
SPATA13	hsa-miR-2276-3p
SPATA13	hsa-miR-2276-5p
SPINK8	hsa-miR-2115-3p
SPINK8	hsa-miR-2115-5p
SPTB	hsa-miR-7855-5p
SPTBN5	hsa-miR-4310
SREBF1	hsa-miR-33b-3p
SREBF1	hsa-miR-33b-5p
SREBF1	hsa-miR-6777-3p
SREBF1	hsa-miR-6777-5p
SREBF2	hsa-miR-33a-3p
SREBF2	hsa-miR-33a-5p
SSH1	hsa-miR-619-3p
SSH1	hsa-miR-619-5p
ST6GALNAC5	hsa-miR-7156-3p
ST6GALNAC5	hsa-miR-7156-5p
ST8SIA4	hsa-miR-548p
STIMATE	hsa-miR-8064
STIMATE-MUSTN1	hsa-miR-8064
STK3	hsa-miR-9903
STMN1	hsa-miR-3917
STRBP	hsa-miR-600
STRN3	hsa-miR-624-3p
STRN3	hsa-miR-624-5p
STS	hsa-miR-4767
STXBP5L	hsa-miR-5682
SUPT3H	hsa-miR-586
SVIL	hsa-miR-604
SVIL	hsa-miR-938
SYNGAP1	hsa-miR-5004-3p
SYNGAP1	hsa-miR-5004-5p
SYT12	hsa-miR-6860
SYT1	hsa-miR-1252-3p
SYT1	hsa-miR-1252-5p
SZT2	hsa-miR-6735-3p
SZT2	hsa-miR-6735-5p
TAFA5	hsa-miR-4535
TANC1	hsa-miR-6888-3p
TANC1	hsa-miR-6888-5p
TANGO2	hsa-miR-185-3p
TANGO2	hsa-miR-185-5p
TATDN1	hsa-miR-6844
TBC1D2	hsa-miR-6854-3p
TBC1D2	hsa-miR-6854-5p
TCEANC2	hsa-miR-4781-3p
TCEANC2	hsa-miR-4781-5p
TCIRG1	hsa-miR-6753-3p
TCIRG1	hsa-miR-6753-5p
TECR	hsa-miR-639
TECTB	hsa-miR-6715a-3p
TEDC2	hsa-miR-6768-3p
TEDC2	hsa-miR-6768-5p
TENM2	hsa-miR-12125
TENM3	hsa-miR-1305
TENM4	hsa-miR-5579-3p
TENM4	hsa-miR-5579-5p
TENM4	hsa-miR-708-3p
TENM4	hsa-miR-708-5p
TESK1	hsa-miR-4667-3p
TESK1	hsa-miR-4667-5p
TIAM2	hsa-miR-1273c
TLE3	hsa-miR-629-3p
TLE3	hsa-miR-629-5p
TLN1	hsa-miR-6852-3p
TLN1	hsa-miR-6852-5p
TLN2	hsa-miR-190a-3p
TLN2	hsa-miR-190a-5p
TMEM132C	hsa-miR-3612
TMEM164	hsa-miR-3978
TMEM164	hsa-miR-652-3p
TMEM164	hsa-miR-652-5p
TMEM181	hsa-miR-7161-3p
TMEM181	hsa-miR-7161-5p
TMEM187	hsa-miR-3202
TMEM232	hsa-miR-548f-3p
TMEM245	hsa-miR-32-3p
TMEM245	hsa-miR-32-5p
TMEM39B	hsa-miR-5585-3p
TMEM39B	hsa-miR-5585-5p
TMF1	hsa-miR-3136-3p
TMF1	hsa-miR-3136-5p
TNFAIP6	hsa-miR-4773
TNFRSF1B	hsa-miR-4632-3p
TNFRSF1B	hsa-miR-4632-5p
TNIK	hsa-miR-569
TNK2	hsa-miR-6829-3p
TNK2	hsa-miR-6829-5p
TNKS	hsa-miR-597-3p
TNKS	hsa-miR-597-5p
TNPO1	hsa-miR-4804-3p
TNPO1	hsa-miR-4804-5p
TNPO2	hsa-miR-10395-3p
TNPO2	hsa-miR-10395-5p
TNS1	hsa-miR-6809-3p
TNS1	hsa-miR-6809-5p
TNS2	hsa-miR-6757-3p
TNS2	hsa-miR-6757-5p
TOM1	hsa-miR-3909
TOMM40L	hsa-miR-5187-3p
TOMM40L	hsa-miR-5187-5p
TONSL	hsa-miR-6893-3p
TONSL	hsa-miR-6893-5p
TP63	hsa-miR-944
TPCN1	hsa-miR-6762-3p
TPCN1	hsa-miR-6762-5p
TPCN2	hsa-miR-3164
TPM3	hsa-miR-190b-3p
TPM3	hsa-miR-190b-5p
TPRA1	hsa-miR-6825-3p
TPRA1	hsa-miR-6825-5p
TPRA1	hsa-miR-7976
TPST2	hsa-miR-548j-3p
TPST2	hsa-miR-548j-5p
TRAF2	hsa-miR-4479
TRIB2	hsa-miR-3125
TRIM28	hsa-miR-6807-3p
TRIM28	hsa-miR-6807-5p
TRMT2A	hsa-miR-6816-3p
TRMT2A	hsa-miR-6816-5p
TRPC6	hsa-miR-3920
TRPM1	hsa-miR-211-3p
TRPM1	hsa-miR-211-5p
TRPM3	hsa-miR-204-3p
TRPM3	hsa-miR-204-5p
TRRAP	hsa-miR-3609
TTC21A	hsa-miR-6822-3p
TTC21A	hsa-miR-6822-5p
TTC27	hsa-miR-4765
TTF2	hsa-miR-942-3p
TTF2	hsa-miR-942-5p
TUFM	hsa-miR-4721
TUFT1	hsa-miR-554
TWISTNB	hsa-miR-3146
UBAC2	hsa-miR-623
UBTF	hsa-miR-6782-3p
UBTF	hsa-miR-6782-5p
UCKL1	hsa-miR-647
UGCG	hsa-miR-4668-3p
UGCG	hsa-miR-4668-5p
UGT8	hsa-miR-577
UHRF1	hsa-miR-4747-3p
UHRF1	hsa-miR-4747-5p
ULK3	hsa-miR-6882-3p
ULK3	hsa-miR-6882-5p
UMPS	hsa-miR-544b
USP20	hsa-miR-6855-3p
USP20	hsa-miR-6855-5p
VGLL1	hsa-miR-934
VPS39	hsa-miR-627-3p
VPS39	hsa-miR-627-5p
VTI1A	hsa-miR-4295
VWA5B2	hsa-miR-1224-3p
VWA5B2	hsa-miR-1224-5p
VWA8	hsa-miR-5006-3p
VWA8	hsa-miR-5006-5p
WDR1	hsa-miR-3138
WDR26	hsa-miR-4742-3p
WDR26	hsa-miR-4742-5p
WDR44	hsa-miR-1277-3p
WDR44	hsa-miR-1277-5p
WDR46	hsa-miR-6873-3p
WDR46	hsa-miR-6873-5p
WDR82	hsa-let-7g-3p
WDR82	hsa-let-7g-5p
WDR91	hsa-miR-6509-3p
WDR91	hsa-miR-6509-5p
WIPI1	hsa-miR-635
WLS	hsa-miR-1262
WNT9A	hsa-miR-5008-3p
WNT9A	hsa-miR-5008-5p
WRB-SH3BGR	hsa-miR-6508-3p
WRB-SH3BGR	hsa-miR-6508-5p
WWP2	hsa-miR-140-3p
WWP2	hsa-miR-140-5p
XKR6	hsa-miR-598-3p
XKR6	hsa-miR-598-5p
XXYLT1	hsa-miR-3137
YPEL2	hsa-miR-4729
ZBTB20	hsa-miR-4796-3p
ZBTB20	hsa-miR-4796-5p
ZCRB1	hsa-miR-7851-3p
ZDHHC14	hsa-miR-3692-3p
ZDHHC14	hsa-miR-3692-5p
ZFPM1	hsa-miR-5189-3p
ZFPM1	hsa-miR-5189-5p
ZFR	hsa-miR-579-3p
ZFR	hsa-miR-579-5p
ZNF107	hsa-miR-6839-3p
ZNF107	hsa-miR-6839-5p
ZNF141	hsa-miR-571
ZNF275	hsa-miR-12129
ZNF385B	hsa-miR-1258
ZNF653	hsa-miR-7974
ZNF710	hsa-miR-3174
ZNF766	hsa-miR-643
ZNRF2	hsa-miR-550a-3p
ZNRF2	hsa-miR-550a-5p
ZRANB2	hsa-miR-186-3p
ZRANB2	hsa-miR-186-5p
ZSCAN22	hsa-miR-6806-3p
ZSCAN22	hsa-miR-6806-5p
ZYX	hsa-miR-6892-3p
ZYX	hsa-miR-6892-5p
