TF	miRNA
ETS1	hsa-miR-182-3p
ETS1	hsa-miR-182-5p
ETS1	hsa-miR-183-3p
ETS1	hsa-miR-183-5p
ETS1	hsa-miR-192-3p
ETS1	hsa-miR-192-5p
ETS1	hsa-miR-21-3p
ETS1	hsa-miR-21-5p
ETS1	hsa-miR-222-3p
ETS1	hsa-miR-222-5p
ETS1	hsa-miR-31-3p
ETS1	hsa-miR-31-5p
ETS1	hsa-miR-320a-3p
ETS1	hsa-miR-320a-5p
ETS1	hsa-miR-96-3p
ETS1	hsa-miR-96-5p
ETS2	hsa-miR-155-3p
ETS2	hsa-miR-155-5p
ETS2	hsa-miR-196b-3p
ETS2	hsa-miR-196b-5p
ETV4	hsa-miR-125a-3p
ETV4	hsa-miR-125a-5p
ETV4	hsa-miR-200b-3p
ETV4	hsa-miR-200b-5p
ETV5	hsa-miR-21-3p
ETV5	hsa-miR-21-5p
ETV6/RUNX1	hsa-miR-181a-3p
ETV6/RUNX1	hsa-miR-181a-5p
EZH2	hsa-let-7c-3p
EZH2	hsa-let-7c-5p
EZH2	hsa-miR-101-3p
EZH2	hsa-miR-101-5p
EZH2	hsa-miR-129-2-3p
EZH2	hsa-miR-129-5p
EZH2	hsa-miR-137-3p
EZH2	hsa-miR-137-5p
EZH2	hsa-miR-139-3p
EZH2	hsa-miR-139-5p
EZH2	hsa-miR-141-3p
EZH2	hsa-miR-141-5p
EZH2	hsa-miR-143-3p
EZH2	hsa-miR-143-5p
EZH2	hsa-miR-146a-3p
EZH2	hsa-miR-146a-5p
EZH2	hsa-miR-155-3p
EZH2	hsa-miR-155-5p
EZH2	hsa-miR-200a-3p
EZH2	hsa-miR-200a-5p
EZH2	hsa-miR-200b-3p
EZH2	hsa-miR-200b-5p
EZH2	hsa-miR-200c-3p
EZH2	hsa-miR-200c-5p
EZH2	hsa-miR-217-3p
EZH2	hsa-miR-217-5p
EZH2	hsa-miR-218-1-3p
EZH2	hsa-miR-218-5p
EZH2	hsa-miR-23a-3p
EZH2	hsa-miR-23a-5p
EZH2	hsa-miR-26a-1-3p
EZH2	hsa-miR-26a-2-3p
EZH2	hsa-miR-26a-5p
EZH2	hsa-miR-27a-3p
EZH2	hsa-miR-27a-5p
EZH2	hsa-miR-30a-3p
EZH2	hsa-miR-30a-5p
EZH2	hsa-miR-30b-3p
EZH2	hsa-miR-30b-5p
EZH2	hsa-miR-30d-3p
EZH2	hsa-miR-30d-5p
EZH2	hsa-miR-31-3p
EZH2	hsa-miR-31-5p
EZH2	hsa-miR-34a-3p
EZH2	hsa-miR-34a-5p
EZH2	hsa-miR-429
EZH2	hsa-miR-568
EZH2	hsa-miR-622
EZH2	hsa-miR-9-3p
EZH2	hsa-miR-9-5p
F2	hsa-miR-222-3p
F2	hsa-miR-222-5p
FGF21	hsa-miR-33a-3p
FGF21	hsa-miR-33a-5p
FGF21	hsa-miR-33b-3p
FGF21	hsa-miR-33b-5p
FOSB	hsa-miR-155-3p
FOSB	hsa-miR-155-5p
FOSB	hsa-miR-22-3p
FOSB	hsa-miR-22-5p
FOS	hsa-miR-21-3p
FOS	hsa-miR-21-5p
FOS	hsa-miR-23a-3p
FOS	hsa-miR-23a-5p
FOS	hsa-miR-31-3p
FOS	hsa-miR-31-5p
FOS	hsa-miR-34a-3p
FOS	hsa-miR-34a-5p
FOSL1	hsa-miR-134-3p
FOSL1	hsa-miR-134-5p
FOSL1	hsa-miR-221-3p
FOSL1	hsa-miR-221-5p
FOSL1	hsa-miR-222-3p
FOSL1	hsa-miR-222-5p
FOXA2	hsa-miR-122-3p
FOXA2	hsa-miR-122-5p
FOXA2	hsa-miR-29a-3p
FOXA2	hsa-miR-29a-5p
FOXA2	hsa-miR-29b-1-5p
FOXA2	hsa-miR-29b-2-5p
FOXA2	hsa-miR-29b-3p
FOXA2	hsa-miR-29c-3p
FOXA2	hsa-miR-29c-5p
FOXD3	hsa-miR-137-3p
FOXD3	hsa-miR-137-5p
FOXD3	hsa-miR-214-3p
FOXD3	hsa-miR-214-5p
FOXD3	hsa-miR-496
FOXF2	hsa-miR-200a-3p
FOXF2	hsa-miR-200a-5p
FOXF2	hsa-miR-200b-3p
FOXF2	hsa-miR-200b-5p
FOXF2	hsa-miR-429
FOXJ1	hsa-miR-449a
FOXM1	hsa-miR-135b-3p
FOXM1	hsa-miR-135b-5p
FOXM1	hsa-miR-141-3p
FOXM1	hsa-miR-141-5p
FOXM1	hsa-miR-200a-3p
FOXM1	hsa-miR-200a-5p
FOXM1	hsa-miR-200b-3p
FOXM1	hsa-miR-200b-5p
FOXM1	hsa-miR-200c-3p
FOXM1	hsa-miR-200c-5p
FOXM1	hsa-miR-429
FOXO1	hsa-miR-145-3p
FOXO1	hsa-miR-145-5p
FOXO1	hsa-miR-491-3p
FOXO1	hsa-miR-491-5p
FOXO3	hsa-let-7b-3p
FOXO3	hsa-let-7b-5p
FOXO3	hsa-let-7c-3p
FOXO3	hsa-let-7c-5p
FOXO3	hsa-miR-21-3p
FOXO3	hsa-miR-21-5p
FOXO3	hsa-miR-30d-3p
FOXO3	hsa-miR-30d-5p
FOXO3	hsa-miR-34a-3p
FOXO3	hsa-miR-34a-5p
FOXO3	hsa-miR-34b-3p
FOXO3	hsa-miR-34b-5p
FOXO3	hsa-miR-34c-3p
FOXO3	hsa-miR-34c-5p
FOXO3	hsa-miR-622
FOXP3	hsa-miR-142-3p
FOXP3	hsa-miR-142-5p
FOXP3	hsa-miR-146a-3p
FOXP3	hsa-miR-146a-5p
FOXP3	hsa-miR-146b-3p
FOXP3	hsa-miR-146b-5p
FOXP3	hsa-miR-155-3p
FOXP3	hsa-miR-155-5p
FOXP3	hsa-miR-183-3p
FOXP3	hsa-miR-183-5p
FSH	hsa-miR-143-3p
FSH	hsa-miR-143-5p
FSH	hsa-miR-15b-3p
FSH	hsa-miR-15b-5p
FUS	hsa-miR-141-3p
FUS	hsa-miR-141-5p
FUS	hsa-miR-200a-3p
FUS	hsa-miR-200a-5p
GATA1	hsa-miR-138-2-3p
GATA1	hsa-miR-138-5p
GATA1	hsa-miR-144-3p
GATA1	hsa-miR-144-5p
GATA1	hsa-miR-146b-3p
GATA1	hsa-miR-146b-5p
GATA1	hsa-miR-148a-3p
GATA1	hsa-miR-148a-5p
GATA1	hsa-miR-196b-3p
GATA1	hsa-miR-196b-5p
GATA1	hsa-miR-23a-3p
GATA1	hsa-miR-23a-5p
GATA1	hsa-miR-24-2-5p
GATA1	hsa-miR-24-3p
GATA1	hsa-miR-27a-3p
GATA1	hsa-miR-27a-5p
GATA1	hsa-miR-361-3p
GATA1	hsa-miR-361-5p
GATA1	hsa-miR-431-3p
GATA1	hsa-miR-431-5p
GATA1	hsa-miR-889-3p
GATA1	hsa-miR-889-5p
GATA2	hsa-miR-126-3p
GATA2	hsa-miR-126-5p
GATA2	hsa-miR-148a-3p
GATA2	hsa-miR-148a-5p
GATA2	hsa-miR-221-3p
GATA2	hsa-miR-221-5p
GATA2	hsa-miR-23a-3p
GATA2	hsa-miR-23a-5p
GATA2	hsa-miR-24-2-5p
GATA2	hsa-miR-24-3p
GATA2	hsa-miR-27a-3p
GATA2	hsa-miR-27a-5p
GATA2	hsa-miR-30e-3p
GATA2	hsa-miR-30e-5p
GATA2	hsa-miR-31-3p
GATA2	hsa-miR-31-5p
GATA3	hsa-miR-125a-3p
GATA3	hsa-miR-125a-5p
GATA3	hsa-miR-138-1-3p
GATA3	hsa-miR-138-2-3p
GATA3	hsa-miR-138-5p
GATA3	hsa-miR-200a-3p
GATA3	hsa-miR-200a-5p
GATA3	hsa-miR-200b-3p
GATA3	hsa-miR-200b-5p
GATA3	hsa-miR-200c-3p
GATA3	hsa-miR-200c-5p
GATA4	hsa-miR-144-3p
GATA4	hsa-miR-144-5p
GATA6	hsa-miR-30d-3p
GATA6	hsa-miR-30d-5p
GATA6	hsa-miR-30e-3p
GATA6	hsa-miR-30e-5p
GFI1	hsa-miR-196b-3p
GFI1	hsa-miR-196b-5p
GFI1	hsa-miR-21-3p
GFI1	hsa-miR-21-5p
GLI1	hsa-miR-29a-3p
GLI1	hsa-miR-29a-5p
GLI1	hsa-miR-29b-1-5p
GLI1	hsa-miR-29b-3p
GNRH1	hsa-miR-132-3p
GNRH1	hsa-miR-132-5p
GNRH1	hsa-miR-212-3p
GNRH1	hsa-miR-212-5p
GRHL2	hsa-miR-141-3p
GRHL2	hsa-miR-141-5p
GRHL2	hsa-miR-200a-3p
GRHL2	hsa-miR-200a-5p
GRHL2	hsa-miR-200b-3p
GRHL2	hsa-miR-200b-5p
GRHL2	hsa-miR-200c-3p
GRHL2	hsa-miR-200c-5p
GRHL2	hsa-miR-203a-3p
GRHL2	hsa-miR-203a-5p
GRHL2	hsa-miR-429
GRHL3	hsa-miR-21-3p
GRHL3	hsa-miR-21-5p
HDAC1	hsa-miR-146a-3p
HDAC1	hsa-miR-146a-5p
HDAC1	hsa-miR-200a-3p
HDAC1	hsa-miR-200a-5p
HDAC1	hsa-miR-200b-3p
HDAC1	hsa-miR-200b-5p
HDAC1	hsa-miR-34a-3p
HDAC1	hsa-miR-34a-5p
HDAC1	hsa-miR-424-3p
HDAC1	hsa-miR-424-5p
HDAC1	hsa-miR-429
HDAC1	hsa-miR-503-3p
HDAC1	hsa-miR-503-5p
HDAC2	hsa-miR-130a-3p
HDAC2	hsa-miR-130a-5p
HDAC2	hsa-miR-141-3p
HDAC2	hsa-miR-141-5p
HDAC2	hsa-miR-155-3p
HDAC2	hsa-miR-155-5p
HDAC2	hsa-miR-182-3p
HDAC2	hsa-miR-182-5p
HDAC2	hsa-miR-183-3p
HDAC2	hsa-miR-183-5p
HDAC2	hsa-miR-200a-3p
HDAC2	hsa-miR-200a-5p
HDAC2	hsa-miR-200b-3p
HDAC2	hsa-miR-200b-5p
HDAC2	hsa-miR-200c-3p
HDAC2	hsa-miR-200c-5p
HDAC2	hsa-miR-424-3p
HDAC2	hsa-miR-424-5p
HDAC2	hsa-miR-429
HDAC2	hsa-miR-503-3p
HDAC2	hsa-miR-503-5p
HDAC2	hsa-miR-96-3p
HDAC2	hsa-miR-96-5p
HDAC3	hsa-miR-181a-3p
HDAC3	hsa-miR-181a-5p
HDAC3	hsa-miR-195-3p
HDAC3	hsa-miR-195-5p
HDAC3	hsa-miR-30d-3p
HDAC3	hsa-miR-30d-5p
HDAC3	hsa-miR-31-3p
HDAC3	hsa-miR-31-5p
HDAC3	hsa-miR-96-3p
HDAC3	hsa-miR-96-5p
HDAC4	hsa-miR-155-3p
HDAC4	hsa-miR-155-5p
HDAC4	hsa-miR-185-3p
HDAC4	hsa-miR-185-5p
HDAC4	hsa-miR-200a-3p
HDAC4	hsa-miR-200a-5p
HDAC4	hsa-miR-200b-3p
HDAC4	hsa-miR-200b-5p
HDAC4	hsa-miR-29a-3p
HDAC4	hsa-miR-29a-5p
HDAC4	hsa-miR-29b-1-5p
HDAC4	hsa-miR-29b-3p
HDAC4	hsa-miR-29c-3p
HDAC4	hsa-miR-29c-5p
HDAC4	hsa-miR-34a-3p
HDAC4	hsa-miR-34a-5p
HDAC4	hsa-miR-429
HES1	hsa-miR-17-3p
HES1	hsa-miR-17-5p
HES1	hsa-miR-18a-3p
HES1	hsa-miR-18a-5p
HES1	hsa-miR-19a-3p
HES1	hsa-miR-19a-5p
HES1	hsa-miR-19b-1-5p
HES1	hsa-miR-19b-3p
HES1	hsa-miR-205-3p
HES1	hsa-miR-205-5p
HES1	hsa-miR-20a-3p
HES1	hsa-miR-20a-5p
HES1	hsa-miR-92a-1-5p
HES1	hsa-miR-92a-3p
HES5	hsa-miR-342-3p
HES5	hsa-miR-342-5p
HEY1	hsa-miR-223-3p
HEY1	hsa-miR-223-5p
HIF1A	hsa-let-7e-3p
HIF1A	hsa-let-7e-5p
HIF1A	hsa-miR-107
HIF1A	hsa-miR-126-3p
HIF1A	hsa-miR-126-5p
HIF1A	hsa-miR-1271-3p
HIF1A	hsa-miR-1271-5p
HIF1A	hsa-miR-127-3p
HIF1A	hsa-miR-127-5p
HIF1A	hsa-miR-1275
HIF1A	hsa-miR-128-1-5p
HIF1A	hsa-miR-128-3p
HIF1A	hsa-miR-130a-3p
HIF1A	hsa-miR-130a-5p
HIF1A	hsa-miR-143-3p
HIF1A	hsa-miR-143-5p
HIF1A	hsa-miR-145-3p
HIF1A	hsa-miR-145-5p
HIF1A	hsa-miR-146a-3p
HIF1A	hsa-miR-146a-5p
HIF1A	hsa-miR-155-3p
HIF1A	hsa-miR-155-5p
HIF1A	hsa-miR-181c-3p
HIF1A	hsa-miR-181c-5p
HIF1A	hsa-miR-182-3p
HIF1A	hsa-miR-182-5p
HIF1A	hsa-miR-183-3p
HIF1A	hsa-miR-183-5p
HIF1A	hsa-miR-185-3p
HIF1A	hsa-miR-185-5p
HIF1A	hsa-miR-191-3p
HIF1A	hsa-miR-191-5p
HIF1A	hsa-miR-193a-3p
HIF1A	hsa-miR-193a-5p
HIF1A	hsa-miR-199a-3p
HIF1A	hsa-miR-199a-5p
HIF1A	hsa-miR-204-3p
HIF1A	hsa-miR-204-5p
HIF1A	hsa-miR-205-3p
HIF1A	hsa-miR-205-5p
HIF1A	hsa-miR-20a-3p
HIF1A	hsa-miR-20a-5p
HIF1A	hsa-miR-210-3p
HIF1A	hsa-miR-210-5p
HIF1A	hsa-miR-21-3p
HIF1A	hsa-miR-214-3p
HIF1A	hsa-miR-214-5p
HIF1A	hsa-miR-21-5p
HIF1A	hsa-miR-218-2-3p
HIF1A	hsa-miR-218-5p
HIF1A	hsa-miR-224-3p
HIF1A	hsa-miR-224-5p
HIF1A	hsa-miR-23a-3p
HIF1A	hsa-miR-23a-5p
HIF1A	hsa-miR-23b-3p
HIF1A	hsa-miR-23b-5p
HIF1A	hsa-miR-24-2-5p
HIF1A	hsa-miR-24-3p
HIF1A	hsa-miR-26a-2-3p
HIF1A	hsa-miR-26a-5p
HIF1A	hsa-miR-27a-3p
HIF1A	hsa-miR-27a-5p
HIF1A	hsa-miR-29b-2-5p
HIF1A	hsa-miR-29b-3p
HIF1A	hsa-miR-29c-3p
HIF1A	hsa-miR-29c-5p
HIF1A	hsa-miR-301a-3p
HIF1A	hsa-miR-301a-5p
HIF1A	hsa-miR-30b-3p
HIF1A	hsa-miR-30b-5p
HIF1A	hsa-miR-30d-3p
HIF1A	hsa-miR-30d-5p
HIF1A	hsa-miR-3120-3p
HIF1A	hsa-miR-3120-5p
HIF1A	hsa-miR-361-3p
HIF1A	hsa-miR-361-5p
HIF1A	hsa-miR-372-3p
HIF1A	hsa-miR-372-5p
HIF1A	hsa-miR-373-3p
HIF1A	hsa-miR-373-5p
HIF1A	hsa-miR-376c-3p
HIF1A	hsa-miR-376c-5p
HIF1A	hsa-miR-382-3p
HIF1A	hsa-miR-382-5p
HIF1A	hsa-miR-424-3p
HIF1A	hsa-miR-424-5p
HIF1A	hsa-miR-429
HIF1A	hsa-miR-452-3p
HIF1A	hsa-miR-452-5p
HIF1A	hsa-miR-454-3p
HIF1A	hsa-miR-454-5p
HIF1A	hsa-miR-497-3p
HIF1A	hsa-miR-497-5p
HIF1A	hsa-miR-602
HIF1A	hsa-miR-96-3p
HIF1A	hsa-miR-96-5p
HLF	hsa-miR-132-3p
HLF	hsa-miR-132-5p
HMGA1	hsa-miR-101-2-5p
HMGA1	hsa-miR-101-3p
HMGA1	hsa-miR-196a-3p
HMGA1	hsa-miR-196a-5p
HMGA1	hsa-miR-222-3p
HMGA1	hsa-miR-222-5p
HMGA1	hsa-miR-29a-3p
HMGA1	hsa-miR-29a-5p
HMGA1	hsa-miR-331-3p
HMGA1	hsa-miR-331-5p
HNF1A	hsa-miR-122-3p
HNF1A	hsa-miR-122-5p
HNF1A	hsa-miR-192-3p
HNF1A	hsa-miR-192-5p
HNF1A	hsa-miR-194-3p
HNF1A	hsa-miR-194-5p
HNF3A	hsa-miR-122-3p
HNF3A	hsa-miR-122-5p
HNF3B	hsa-miR-122-3p
HNF3B	hsa-miR-122-5p
HNF4A	hsa-miR-101-2-5p
HNF4A	hsa-miR-101-3p
HNF4A	hsa-miR-1193
HNF4A	hsa-miR-1197
HNF4A	hsa-miR-122-3p
HNF4A	hsa-miR-122-5p
HNF4A	hsa-miR-124-3p
HNF4A	hsa-miR-124-5p
HNF4A	hsa-miR-134-3p
HNF4A	hsa-miR-134-5p
HNF4A	hsa-miR-150-3p
HNF4A	hsa-miR-150-5p
HNF4A	hsa-miR-154-3p
HNF4A	hsa-miR-154-5p
HNF4A	hsa-miR-182-3p
HNF4A	hsa-miR-182-5p
HNF4A	hsa-miR-183-3p
HNF4A	hsa-miR-183-5p
HNF4A	hsa-miR-192-3p
HNF4A	hsa-miR-192-5p
HNF4A	hsa-miR-194-3p
HNF4A	hsa-miR-194-5p
HNF4A	hsa-miR-200a-3p
HNF4A	hsa-miR-200a-5p
HNF4A	hsa-miR-200b-3p
HNF4A	hsa-miR-200b-5p
HNF4A	hsa-miR-200c-3p
HNF4A	hsa-miR-200c-5p
HNF4A	hsa-miR-299-3p
HNF4A	hsa-miR-299-5p
HNF4A	hsa-miR-329-3p
HNF4A	hsa-miR-329-5p
HNF4A	hsa-miR-34a-3p
HNF4A	hsa-miR-34a-5p
HNF4A	hsa-miR-369-3p
HNF4A	hsa-miR-369-5p
HNF4A	hsa-miR-376a-3p
HNF4A	hsa-miR-376a-5p
HNF4A	hsa-miR-376b-3p
HNF4A	hsa-miR-376b-5p
HNF4A	hsa-miR-376c-3p
HNF4A	hsa-miR-376c-5p
HNF4A	hsa-miR-377-3p
HNF4A	hsa-miR-377-5p
HNF4A	hsa-miR-379-3p
HNF4A	hsa-miR-379-5p
HNF4A	hsa-miR-380-3p
HNF4A	hsa-miR-380-5p
HNF4A	hsa-miR-381-3p
HNF4A	hsa-miR-381-5p
HNF4A	hsa-miR-382-3p
HNF4A	hsa-miR-382-5p
HNF4A	hsa-miR-409-3p
HNF4A	hsa-miR-409-5p
HNF4A	hsa-miR-410-3p
HNF4A	hsa-miR-410-5p
HNF4A	hsa-miR-411-3p
HNF4A	hsa-miR-411-5p
HNF4A	hsa-miR-412-3p
HNF4A	hsa-miR-412-5p
HNF4A	hsa-miR-485-3p
HNF4A	hsa-miR-485-5p
HNF4A	hsa-miR-487a-3p
HNF4A	hsa-miR-487a-5p
HNF4A	hsa-miR-487b-3p
HNF4A	hsa-miR-487b-5p
HNF4A	hsa-miR-494-3p
HNF4A	hsa-miR-494-5p
HNF4A	hsa-miR-495-3p
HNF4A	hsa-miR-495-5p
HNF4A	hsa-miR-496
HNF4A	hsa-miR-539-3p
HNF4A	hsa-miR-539-5p
HNF4A	hsa-miR-543
HNF4A	hsa-miR-654-3p
HNF4A	hsa-miR-654-5p
HNF4A	hsa-miR-655-3p
HNF4A	hsa-miR-655-5p
HNF4A	hsa-miR-656-3p
HNF4A	hsa-miR-656-5p
HNF4A	hsa-miR-668-3p
HNF4A	hsa-miR-668-5p
HNF4A	hsa-miR-7-2-3p
HNF4A	hsa-miR-758-3p
HNF4A	hsa-miR-758-5p
HNF4A	hsa-miR-7-5p
HNF4A	hsa-miR-889-3p
HNF4A	hsa-miR-889-5p
HNF4A	hsa-miR-96-3p
HNF4A	hsa-miR-96-5p
HOXA10	hsa-let-7c-3p
HOXA10	hsa-let-7c-5p
HOXA10	hsa-miR-100-3p
HOXA10	hsa-miR-100-5p
HOXA10	hsa-miR-125b-1-3p
HOXA10	hsa-miR-125b-2-3p
HOXA10	hsa-miR-125b-5p
HOXA10	hsa-miR-99a-3p
HOXA10	hsa-miR-99a-5p
HOXA9	hsa-miR-196b-3p
HOXA9	hsa-miR-196b-5p
HOXA9	hsa-miR-21-3p
HOXA9	hsa-miR-21-5p
HOXB7	hsa-miR-221-3p
HOXB7	hsa-miR-221-5p
HOXB7	hsa-miR-222-3p
HOXB7	hsa-miR-222-5p
HOXD10	hsa-miR-146a-3p
HOXD10	hsa-miR-146a-5p
HSF1	hsa-miR-135b-3p
HSF1	hsa-miR-135b-5p
HSF1	hsa-miR-432-3p
HSF1	hsa-miR-432-5p
HSF2	hsa-miR-182-3p
HSF2	hsa-miR-182-5p
HSF2	hsa-miR-183-3p
HSF2	hsa-miR-183-5p
HSF2	hsa-miR-96-3p
HSF2	hsa-miR-96-5p
IFNB1	hsa-miR-143-3p
IFNB1	hsa-miR-143-5p
IFNB1	hsa-miR-145-3p
IFNB1	hsa-miR-145-5p
IFNG	hsa-miR-143-3p
IFNG	hsa-miR-143-5p
IFNG	hsa-miR-145-3p
IFNG	hsa-miR-145-5p
IL1B	hsa-miR-146a-3p
IL1B	hsa-miR-146a-5p
IL1B	hsa-miR-21-3p
IL1B	hsa-miR-21-5p
IL2	hsa-miR-182-3p
IL2	hsa-miR-182-5p
IL4	hsa-miR-29a-3p
IL4	hsa-miR-29a-5p
IL6	hsa-let-7b-3p
IL6	hsa-let-7b-5p
IL6	hsa-miR-146b-3p
IL6	hsa-miR-146b-5p
IL6	hsa-miR-148a-3p
IL6	hsa-miR-148a-5p
IL6	hsa-miR-152-3p
IL6	hsa-miR-152-5p
IL6	hsa-miR-301a-3p
IL6	hsa-miR-301a-5p
IL6	hsa-miR-301b-3p
IL6	hsa-miR-301b-5p
IL6	hsa-miR-370-3p
IL6	hsa-miR-370-5p
IL6	hsa-miR-519c-3p
IL6	hsa-miR-519c-5p
ILF2	hsa-miR-7-1-3p
ILF2	hsa-miR-7-5p
ILF3	hsa-miR-590-3p
ILF3	hsa-miR-590-5p
ILF3	hsa-miR-7-1-3p
ILF3	hsa-miR-7-5p
IRF1	hsa-miR-155-3p
IRF1	hsa-miR-155-5p
IRF3	hsa-miR-155-3p
IRF3	hsa-miR-155-5p
IRF3	hsa-miR-576-3p
IRF3	hsa-miR-576-5p
IRF4	hsa-miR-155-3p
IRF4	hsa-miR-155-5p
ITGB3	hsa-miR-150-3p
ITGB3	hsa-miR-150-5p
JAG1	hsa-miR-143-3p
JAG1	hsa-miR-143-5p
JAG1	hsa-miR-145-3p
JAG1	hsa-miR-145-5p
JMJD1C	hsa-miR-302a-3p
JMJD1C	hsa-miR-302a-5p
JMJD1C	hsa-miR-302b-3p
JMJD1C	hsa-miR-302b-5p
JMJD1C	hsa-miR-302c-3p
JMJD1C	hsa-miR-302c-5p
JMJD1C	hsa-miR-302d-3p
JMJD1C	hsa-miR-302d-5p
JMJD1C	hsa-miR-367-3p
JMJD1C	hsa-miR-367-5p
JUNB	hsa-miR-135b-3p
JUNB	hsa-miR-135b-5p
JUNB	hsa-miR-155-3p
JUNB	hsa-miR-155-5p
JUND	hsa-miR-29b-1-5p
JUND	hsa-miR-29b-3p
JUN	hsa-miR-106b-3p
JUN	hsa-miR-106b-5p
JUN	hsa-miR-127-3p
JUN	hsa-miR-127-5p
JUN	hsa-miR-135b-3p
JUN	hsa-miR-135b-5p
JUN	hsa-miR-139-3p
JUN	hsa-miR-139-5p
JUN	hsa-miR-141-3p
JUN	hsa-miR-141-5p
JUN	hsa-miR-144-3p
JUN	hsa-miR-144-5p
JUN	hsa-miR-146a-3p
JUN	hsa-miR-146a-5p
JUN	hsa-miR-184
JUN	hsa-miR-18b-3p
JUN	hsa-miR-18b-5p
JUN	hsa-miR-200a-3p
JUN	hsa-miR-200a-5p
JUN	hsa-miR-200b-3p
JUN	hsa-miR-200b-5p
JUN	hsa-miR-200c-3p
JUN	hsa-miR-200c-5p
JUN	hsa-miR-21-3p
JUN	hsa-miR-21-5p
JUN	hsa-miR-221-3p
JUN	hsa-miR-221-5p
JUN	hsa-miR-222-3p
JUN	hsa-miR-222-5p
JUN	hsa-miR-224-3p
JUN	hsa-miR-224-5p
JUN	hsa-miR-23a-3p
JUN	hsa-miR-23a-5p
JUN	hsa-miR-23b-3p
JUN	hsa-miR-23b-5p
JUN	hsa-miR-25-3p
JUN	hsa-miR-25-5p
JUN	hsa-miR-31-3p
JUN	hsa-miR-31-5p
JUN	hsa-miR-3188
JUN	hsa-miR-429
JUN	hsa-miR-630
JUN	hsa-miR-93-3p
JUN	hsa-miR-93-5p
KAT2B	hsa-miR-141-3p
KAT2B	hsa-miR-141-5p
KAT2B	hsa-miR-200c-3p
KAT2B	hsa-miR-200c-5p
KDM1A	hsa-miR-200c-3p
KDM1A	hsa-miR-200c-5p
KDM1A	hsa-miR-568
KDM2B	hsa-let-7b-3p
KDM2B	hsa-let-7b-5p
KDM4A	hsa-miR-34a-3p
KDM4A	hsa-miR-34a-5p
KDM5B	hsa-let-7e-3p
KDM5B	hsa-let-7e-5p
KDM5B	hsa-miR-125a-3p
KDM5B	hsa-miR-125a-5p
KDM5B	hsa-miR-141-3p
KDM5B	hsa-miR-141-5p
KDM5B	hsa-miR-200a-3p
KDM5B	hsa-miR-200a-5p
KDM5B	hsa-miR-200b-3p
KDM5B	hsa-miR-200b-5p
KDM5B	hsa-miR-200c-3p
KDM5B	hsa-miR-200c-5p
KDM5B	hsa-miR-31-3p
KDM5B	hsa-miR-31-5p
KDM5B	hsa-miR-429
KDM5B	hsa-miR-99b-3p
KDM5B	hsa-miR-99b-5p
KHSRP	hsa-let-7b-3p
KHSRP	hsa-let-7b-5p
KHSRP	hsa-let-7c-3p
KHSRP	hsa-let-7c-5p
KLF2	hsa-miR-126-3p
KLF2	hsa-miR-126-5p
KLF2	hsa-miR-143-3p
KLF2	hsa-miR-143-5p
KLF2	hsa-miR-145-3p
KLF2	hsa-miR-145-5p
KLF2	hsa-miR-150-3p
KLF2	hsa-miR-150-5p
KLF2	hsa-miR-23b-3p
KLF2	hsa-miR-23b-5p
KLF3	hsa-miR-182-3p
KLF3	hsa-miR-182-5p
KLF3	hsa-miR-23a-3p
KLF3	hsa-miR-23a-5p
KLF3	hsa-miR-24-2-5p
KLF3	hsa-miR-24-3p
KLF3	hsa-miR-27a-3p
KLF3	hsa-miR-27a-5p
KLF4	hsa-miR-134-3p
KLF4	hsa-miR-134-5p
KLF4	hsa-miR-1-3p
KLF4	hsa-miR-143-3p
KLF4	hsa-miR-143-5p
KLF4	hsa-miR-145-3p
KLF4	hsa-miR-145-5p
KLF4	hsa-miR-150-3p
KLF4	hsa-miR-150-5p
KLF4	hsa-miR-15a-3p
KLF4	hsa-miR-15a-5p
KLF4	hsa-miR-182-3p
KLF4	hsa-miR-182-5p
KLF4	hsa-miR-183-3p
KLF4	hsa-miR-183-5p
KLF4	hsa-miR-200a-3p
KLF4	hsa-miR-200a-5p
KLF4	hsa-miR-200b-3p
KLF4	hsa-miR-200b-5p
KLF4	hsa-miR-200c-3p
KLF4	hsa-miR-200c-5p
KLF4	hsa-miR-206
KLF4	hsa-miR-21-3p
KLF4	hsa-miR-21-5p
KLF4	hsa-miR-31-3p
KLF4	hsa-miR-31-5p
KLF4	hsa-miR-429
KLF4	hsa-miR-96-3p
KLF4	hsa-miR-96-5p
KLF5	hsa-miR-141-3p
KLF5	hsa-miR-141-5p
KLF5	hsa-miR-200a-3p
KLF5	hsa-miR-200a-5p
KLF5	hsa-miR-200b-3p
KLF5	hsa-miR-200b-5p
KLF5	hsa-miR-200c-3p
KLF5	hsa-miR-200c-5p
KLF5	hsa-miR-429
KLF8	hsa-miR-132-3p
KLF8	hsa-miR-132-5p
KLF8	hsa-miR-141-3p
KLF8	hsa-miR-141-5p
KLF9	hsa-miR-21-3p
KLF9	hsa-miR-21-5p
KMT2A	hsa-miR-146a-3p
KMT2A	hsa-miR-146a-5p
KMT2A	hsa-miR-155-3p
KMT2A	hsa-miR-155-5p
KMT2A	hsa-miR-23a-3p
KMT2A	hsa-miR-23a-5p
KMT2A	hsa-miR-23b-3p
KMT2A	hsa-miR-23b-5p
KMT2A	hsa-miR-24-1-5p
KMT2A	hsa-miR-24-2-5p
KMT2A	hsa-miR-24-3p
