TF	miRNA
Lmx1b	mmu-mir-135a-2
MSK	mmu-mir-132
MSK	mmu-mir-212
Mal1	mmu-mir-142
Mcat	mmu-mir-208b
Mecp2	mmu-mir-124-1
Mef2a	mmu-mir-410
Mef2a	mmu-mir-433
Mef2a	mmu-mir-495
Mef2c	mmu-mir-1
Mef2c	mmu-mir-133a
Mef2c	mmu-mir-133a-1
Mef2c	mmu-mir-1a-2
Men1	mmu-mir-23a
Men1	mmu-mir-23b
Men1	mmu-mir-24-1
Men1	mmu-mir-24-2
Men1	mmu-mir-27a
Men1	mmu-mir-27b
Mitf	mmu-mir-541
Myc	mmu-let-7a
Myc	mmu-mir-141
Myc	mmu-mir-15a
Myc	mmu-mir-16-1
Myc	mmu-mir-17
Myc	mmu-mir-18a
Myc	mmu-mir-195
Myc	mmu-mir-19a
Myc	mmu-mir-19b-1
Myc	mmu-mir-200
Myc	mmu-mir-20a
Myc	mmu-mir-23b
Myc	mmu-mir-27b
Myc	mmu-mir-290
Myc	mmu-mir-294
Myc	mmu-mir-295
Myc	mmu-mir-429
Myc	mmu-mir-497
Myc	mmu-mir-92a-1
Myd88	mmu-mir-124
Myocd	mmu-mir-133a-1
Myocd	mmu-mir-143
Myocd	mmu-mir-145
Myocd	mmu-mir-1a-2
Myod1	mmu-mir-133a-1
Myod1	mmu-mir-133a-2
Myod1	mmu-mir-182
Myod1	mmu-mir-1a-1
Myod1	mmu-mir-1a-2
Myod1	mmu-mir-206
Myod1	mmu-mir-29b-2
Myod1	mmu-mir-29c
Myod1	mmu-mir-675
Myog	mmu-mir-133a-1
Myog	mmu-mir-133a-2
Myog	mmu-mir-1a-1
Myog	mmu-mir-1a-2
Myog	mmu-mir-206
Nanog	mmu-mir-106a
Nanog	mmu-mir-17
Nanog	mmu-mir-18a
Nanog	mmu-mir-19a
Nanog	mmu-mir-19b-1
Nanog	mmu-mir-19b-2
Nanog	mmu-mir-20a
Nanog	mmu-mir-20b
Nanog	mmu-mir-290a
Nanog	mmu-mir-290b
Nanog	mmu-mir-291a
Nanog	mmu-mir-291b
Nanog	mmu-mir-292a
Nanog	mmu-mir-292b
Nanog	mmu-mir-293
Nanog	mmu-mir-294
Nanog	mmu-mir-295
Nanog	mmu-mir-302a
Nanog	mmu-mir-302b
Nanog	mmu-mir-302c
Nanog	mmu-mir-302d
Nanog	mmu-mir-363
Nanog	mmu-mir-367
Nanog	mmu-mir-9-2
Nanog	mmu-mir-92a-1
Nanog	mmu-mir-92a-2
Neurog1	mmu-mir-9-2
Nfatc1	mmu-mir-374
Nfatc1	mmu-mir-9-1
Nfatc3	mmu-mir-23a
Nfatc3	mmu-mir-324
Nfe2l2	mmu-mir-29a
Nfe2l2	mmu-mir-29b-1
Nfe2l2	mmu-mir-29b-2
Nfe2l2	mmu-mir-29c
Nfe2l2	mmu-mir-466b
Nfkb1	mmu-let-7a-1
Nfkb1	mmu-mir-146a
Nfkb1	mmu-mir-155
Nfkb1	mmu-mir-21
Nfkb1	mmu-mir-214
Nfkb1	mmu-mir-3077
Nfkb1	mmu-mir-466i
Nfkb1	mmu-mir-705
Nfya	mmu-mir-33a
Nfyc	mmu-mir-130b
Nfyc	mmu-mir-301b
Nkx2-1	mmu-mir-1195
Nkx2-1	mmu-mir-200c
Nkx2-1	mmu-mir-221
Nkx2-5	mmu-mir-143
Nkx2-5	mmu-mir-145
Nr1h3	mmu-mir-144
Nr1h3	mmu-mir-451
Nr1h4	mmu-mir-144
Nr1h4	mmu-mir-33
Nr1h4	mmu-mir-451
Nr1i3	mmu-mir-122
Nr2f1	mmu-mir-140
Nr3c1	mmu-mir-27b
Nr6a1	mmu-mir-302a
Onecut1	mmu-mir-122
Onecut2	mmu-mir-122
PUP2	mmu-let-7
Pax6	mmu-mir-124-3
Pax6	mmu-mir-204
Ped	mmu-mir-125a
Pgr	mmu-mir-146b
Pgr	mmu-mir-148a
Pgr	mmu-mir-193b
Pitx2	mmu-mir-106b
Pitx2	mmu-mir-141
Pitx2	mmu-mir-15b
Pitx2	mmu-mir-17
Pitx2	mmu-mir-18a
Pitx2	mmu-mir-19a
Pitx2	mmu-mir-19b-1
Pitx2	mmu-mir-200a
Pitx2	mmu-mir-200b
Pitx2	mmu-mir-200c
Pitx2	mmu-mir-20a
Pitx2	mmu-mir-23b
Pitx2	mmu-mir-25
Pitx2	mmu-mir-335
Pitx2	mmu-mir-423
Pitx2	mmu-mir-429
Pitx2	mmu-mir-503
Pitx2	mmu-mir-92a-1
Pitx2	mmu-mir-93
Pitx3	mmu-mir-133b
Pou2af1	mmu-mir-146a
Pou2af1	mmu-mir-210
Pou2f1	mmu-let-7g
Pou2f2	mmu-mir-210
Pou5f1	mmu-mir-106a
Pou5f1	mmu-mir-141
Pou5f1	mmu-mir-19b-2
Pou5f1	mmu-mir-200a
Pou5f1	mmu-mir-200b
Pou5f1	mmu-mir-200c
Pou5f1	mmu-mir-20b
Pou5f1	mmu-mir-290a
Pou5f1	mmu-mir-290b
