miRNA	Gene
mmu-miR-29c-3p	Yy1
mmu-miR-146a-5p	Ifng
mmu-miR-20a-5p	Zbtb7a
mmu-miR-33-5p	Abcg1
mmu-miR-33-5p	Abca1
mmu-miR-29a-3p	Col3a1
mmu-miR-29a-3p	Fbn1
mmu-miR-29a-3p	Col1a2
mmu-miR-29a-3p	Col1a1
mmu-miR-29b-3p	Col1a1
mmu-miR-29b-3p	Col1a2
mmu-miR-29b-3p	Fbn1
mmu-miR-29b-3p	Col3a1
mmu-miR-30a-5p	Ak1
mmu-miR-30a-5p	Tnrc6a
mmu-miR-30a-5p	Egfr
mmu-miR-122-5p	Smarcd1
mmu-miR-122-5p	Rcan1
mmu-miR-122-5p	Gde1
mmu-miR-19b-3p	Arid4b
mmu-miR-106a-5p	Arid4b
mmu-miR-20b-5p	Arid4b
mmu-miR-130a-3p	Atxn1
mmu-miR-101a-3p	Atxn1
mmu-miR-19a-3p	Atxn1
mmu-let-7b-5p	Bsg
mmu-miR-152-3p	Camk2a
mmu-miR-148b-3p	Camk2a
mmu-miR-148a-3p	Camk2a
mmu-miR-142a-3p	Adcy9
mmu-miR-486a-5p	Pax7
mmu-miR-30c-5p	Runx1
mmu-miR-18a-5p	Runx1
mmu-miR-206-3p	Pax7
mmu-miR-9-5p	Runx1
mmu-miR-328-3p	Bace2
mmu-miR-298-5p	Bace2
mmu-miR-328-3p	Bace1
mmu-miR-298-5p	Bace1
mmu-miR-155-5p	Aicda
mmu-miR-150-5p	Vegfa
mmu-miR-216a-5p	Pten
mmu-miR-130a-3p	Zfpm2
mmu-miR-217-5p	Pten
mmu-miR-124-3p	Ptpn12
mmu-miR-126a-3p	Pik3r2
mmu-miR-126a-3p	Spred1
mmu-miR-181a-5p	Tcra
mmu-miR-181a-5p	Egr1
mmu-miR-181a-5p	Tox
mmu-miR-181a-5p	Runx1
mmu-miR-124-3p	Ctdsp1
mmu-let-7c-5p	Myc
mmu-miR-155-5p	Maf
mmu-miR-101b-3p	Stc1
mmu-miR-124-3p	Ctdsp2
mmu-miR-124-3p	Cers2
mmu-miR-124-3p	Nek9
mmu-miR-124-3p	Tsku
mmu-miR-7a-5p	Hells
mmu-miR-155-5p	Sfpi1
mmu-miR-150-5p	Myb
mmu-miR-221-3p	Cdkn1b
mmu-miR-31-5p	Fzd4
mmu-miR-184-3p	Fzd4
mmu-miR-196a-5p	Hmga2
mmu-miR-101b-3p	Atxn1
mmu-miR-206-3p	Spry1
mmu-miR-133a-3p	Ucp2
mmu-miR-210-3p	Ucp2
mmu-miR-1a-3p	Ucp2
mmu-miR-195a-5p	Cdk6
mmu-miR-195a-5p	Ccnd1
mmu-miR-132-3p	Mecp2
mmu-miR-146a-5p	Irak2
mmu-miR-146a-5p	Irak1
mmu-miR-146a-5p	Traf6
mmu-miR-124-3p	Fcho2
mmu-miR-124-3p	Cd164
mmu-miR-124-3p	Lamc1
mmu-miR-124-3p	Cebpa
mmu-miR-124-3p	Tom1l1
mmu-miR-124-3p	Arfip1
mmu-miR-1a-3p	Hspa1b
mmu-miR-1a-3p	Hspd1
mmu-miR-124-3p	Sypl
mmu-miR-124-3p	Hadhb
mmu-miR-124-3p	B4galt1
mmu-miR-133a-3p	Casp9
mmu-miR-16-5p	Cadm1
mmu-miR-15a-5p	Cadm1
mmu-miR-124-3p	Stx2
mmu-miR-17-5p	Rbl2
mmu-miR-706	Slc3a2
mmu-miR-709	Ctcfl
mmu-miR-203-3p	Trp63
mmu-miR-140-5p	Cxcl12
mmu-miR-34a-5p	Bcl2
mmu-miR-206-3p	Notch3
mmu-miR-133a-3p	Spry1
mmu-miR-203-3p	Zfp281
mmu-miR-21a-5p	Spry1
mmu-miR-92a-3p	Trp63
mmu-miR-155-5p	Fgf7
mmu-miR-320-3p	Hspb6
mmu-miR-219a-5p	Elovl7
mmu-miR-219a-5p	Enpp6
mmu-miR-124-3p	Fam177a
mmu-miR-219a-5p	Camk2g
mmu-miR-145a-5p	Irs1
mmu-miR-134-5p	Nr5a2
mmu-miR-134-5p	Gnao1
mmu-miR-470-5p	Pou5f1
mmu-miR-155-5p	Inpp5d
mmu-miR-20b-5p	Vegfa
mmu-miR-1a-3p	Igf1r
mmu-miR-324-5p	Smo
mmu-miR-326-3p	Smo
mmu-miR-125b-5p	Smo
mmu-miR-124-3p	Plod3
mmu-miR-219a-5p	Pdgfra
mmu-miR-219a-5p	Sox6
mmu-miR-219a-5p	Foxj3
mmu-miR-219a-5p	Zbtb18
mmu-miR-219a-5p	Hes5
mmu-miR-375-3p	Olfr75-ps1
mmu-miR-23a-3p	Celf1
mmu-miR-23b-3p	Celf1
mmu-miR-23b-3p	Celf2
mmu-miR-143-3p	Prkce
mmu-miR-145a-5p	Prkce
mmu-miR-466l-3p	Il10
mmu-miR-155-5p	Tab2
mmu-miR-143-3p	Vcan
mmu-miR-122-5p	Ccrn4l
mmu-miR-29b-3p	Eln
mmu-miR-29a-3p	Eln
mmu-miR-146a-5p	Nos2
mmu-miR-486a-5p	Foxo1
mmu-miR-468-3p	Hells
mmu-let-7c-5p	Mycn
mmu-let-7c-5p	Lin28a
mmu-miR-133a-3p	Ccnd2
mmu-miR-133a-3p	Srf
mmu-let-7a-5p	Il13
mmu-miR-223-3p	Fbxw7
mmu-miR-25-3p	Fbxw7
mmu-miR-138-5p	Kdm6b
mmu-miR-148a-3p	Kdm6b
mmu-miR-185-5p	Kdm6b
mmu-miR-339-5p	Kdm6b
mmu-miR-134-5p	Pum2
mmu-miR-134-5p	Limk1
mmu-miR-28a-5p	Srsf1
mmu-miR-505-3p	Srsf1
mmu-miR-10b-5p	Hoxd10
mmu-miR-139-5p	Foxo1
